NominalCode,1,2,3,4,5,6,7,8,9,10,11,12,total
510100 - DFE Revenue Grants,-355984.17,-355984.17,-355984.17,-355984.17,-355984.17,-355984.17,-355984.17,-355984.17,-355984.17,-355984.17,-355984.17,-355986.04,-4271811.91
510200 - Pupil Premium,-56000,0,0,0,0,0,0,-56000,0,0,0,0,-112000
510250 - Universal Inf Free School Meals,0,0,0,0,0,0,0,0,0,0,-83560,0,-83560
510400 - PE & Sport Grants,0,0,-7500,0,0,0,0,0,-7500,0,0,0,-15000
510950 - Other DfE revenue grants,0,-3842.73,0,0,-2401.71,0,0,0,0,0,0,-3156.53,-9400.97
520100 - LA - SEN,-52993,-62854,-62854,0,-62538,0,-52984,0,-42593,-105574,-52864,-52600,-547854
520200 - LA - Other grants,0,0,-617.58,0,0,-617.58,0,0,0,-322.51,-322.51,0,-1880.18
525300 - Catering income from pupils,-19105.23,-19105.23,-19105.23,-19105.23,-19105.23,-19105.23,-19105.23,-19105.23,-19105.23,-19105.23,-19105.23,-19105.23,-229262.76
525400 - Educational trips & visits,0,0,0,0,-4040,-2010,-2754,0,-4544,0,0,0,-13348
530100 - Hire of facilities,0,0,-10000,0,0,0,0,0,0,0,-20000,0,-30000
530200 - Catering inc (visitors & staf),-566.32,-566.32,-566.32,-566.32,-566.32,-566.32,-566.32,-566.32,-566.32,-566.32,-566.32,-566.32,-6795.84
530400 - Sale of uniforms,-797.52,-309.77,-184.77,-201.08,-255.42,-89.67,-59.78,-267.65,-184.77,-717.36,-266.29,-108.69,-3442.77
530580 - Parental income from wraparound provision,-27793.63,-34825.61,-40607.31,-24674.05,-34535.14,-28021.21,-32954.85,-17597.83,-36864.75,-30767.21,-26560.85,-6208.55,-341410.99
530650 - Sale of goods or services,0,-285.51,-2189.29,-2875.37,-92.3,-276.89,-1133.23,-275.66,-1644.12,-121.22,-4090.62,-1076.8,-14061.01
612100 - Teachers Wages and salaries,170949.5,170949.5,170949.5,203325.55,184340.3,184340.3,184340.3,179248.01,179248.01,179248.01,179248.01,176478.33,2162665.32
612200 - Teachers Employers NI,18634.62,18634.62,18634.62,15962.7,18175.6,18175.6,18175.6,18872.43,18872.43,18872.43,18872.43,14068.56,215951.64
612300 - Teaching staff - Pension,29265.07,29265.07,29265.07,39274.78,32333.26,32333.26,32333.26,30658.47,30658.47,30658.47,30658.47,30419.22,377122.87
615100 - Teaching Assistants - Wages and Salaries,58259.84,58259.84,58259.84,96459,65080.81,65080.81,65080.81,69561.81,69561.81,69561.81,69561.81,65965.49,810693.68
615200 - Teaching Assistants - Employers NI,4834.56,4834.56,4834.56,8771,5133.3,5133.3,5133.3,5821.71,5821.71,5821.71,5821.71,5350.04,67311.46
615300 - Teaching Assistants - Pension,6843.09,6843.09,6843.09,10127.4,7492.88,7492.88,7492.88,10049.69,10049.69,10049.69,10049.69,9651.1,102985.17
625100 - FInance&Admin - Wages and salaries,5916.24,5916.24,5916.24,6454.41,7289.71,7289.71,7289.71,6492.12,6492.12,6492.12,6492.12,6626.75,78667.49
625200 - Finance&Admin - Employers NI,581.58,581.58,581.58,439.85,674.27,674.27,674.27,611.34,611.34,611.34,611.34,543.16,7195.92
625300 - Finance&Admin - Pension,414.11,414.11,414.11,765.36,548.41,548.41,548.41,488.95,488.95,488.95,488.95,572.7,6181.42
635100 - Midday Supervisors - Wages and salaries,16658.34,16658.34,16658.34,24159.5,17866.02,17866.02,17866.02,17955.87,17955.87,17955.87,17955.87,17532.79,217088.85
635200 - Midday Supervisors - Employers NI,293.59,293.59,293.59,337.92,220.64,220.64,220.64,154.46,154.46,154.46,154.46,150.3,2648.75
635300 - Midday Supervisors - Employers Pension,2179.36,2179.36,2179.36,3006.92,2334.28,2334.28,2334.28,2943.65,2943.65,2943.65,2943.65,2872.65,31195.09
645100 - Community Facilities Staff - Wages and salaries,9076.39,9076.39,9076.39,17728.87,9987.67,9987.67,9987.67,9724.57,9724.57,9724.57,9724.57,9562.6,123381.93
645200 - Community Facilities Staff - Employers NI,599.02,599.02,599.02,1600.63,675.33,675.33,675.33,670.29,670.29,670.29,670.29,643.4,8748.24
645300 - Community Facilities Staff - Pension,1023.6,1023.6,1023.6,1996,1121,1121,1121,1330.54,1330.54,1330.54,1330.54,1313.6,15065.56
675500 - Recruitment - teachers,10000,0,0,0,0,0,0,0,0,0,0,0,10000
675600 - DBS checks - teachers,200,200,200,200,200,200,200,200,200,200,200,200,2400
675650 - Staff training - teachers,15000,0,0,1630.36,5000,5000,5000,0,0,0,0,15000,46630.36
675651 - Staff training - others,0,0,0,4347.63,0,0,3000,0,12000,0,0,0,19347.63
675700 - Other IndEmp Expense - teachers,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,13800
710100 - Building Repair and Maintenance,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,60000
720100 - Gas,2333.03,6569.81,7440.48,16225.7,23681.59,27818.36,10121.05,7278.86,14542.9,8531.71,5526.66,5051.93,135122.08
720300 - Electricity,3298.28,5558.54,6642.62,9196.93,12640.46,10624.65,9204.01,8392.73,5158.21,3985.57,3563.99,5558.54,83824.53
730100 - Cleaning contracts,7500,7500,7500,7500,7500,7500,7500,7900,7900,7900,7900,7900,92000
730200 - Cleaning equipment and materials,3000,3000,2000,1000,1500,1500,3000,3000,3000,4000,3000,1000,29000
730300 - Window Cleaning,0,0,0,0,0,0,0,1400,0,0,0,1400,2800
735200 - Operating Leases: Photocopiers,7271.92,0,0,7271.92,0,0,7271.92,0,0,7271.92,0,0,29087.68
735300 - Operating Leases: Telephony,0,650,0,0,650,0,0,650,0,0,650,0,2600
740100 - Security Alarms / CCTV Services,125,0,0,920,0,0,0,0,0,0,0,0,1045
750200 - Before and After School clubs,100,100,100,100,100,100,100,100,100,100,100,100,1200
760100 - Grounds Maintenance,650,650,650,650,650,650,650,650,650,650,650,650,7800
760150 - Water and Sewerage,727.26,556.14,918.84,742.14,922.56,850.02,548.7,907.68,831.42,518.94,859.32,639.84,9022.86
760250 - Refuse Removal,633.86,602.78,592.39,2555.63,563.83,848.57,2784.14,577.06,672.16,840.2,647.06,4548.41,15866.09
760300 - Hygiene Supplies & Services,2500,0,0,2500,0,0,0,0,0,0,0,0,5000
760350 - Health & Safety,550,550,550,550,550,550,550,550,550,550,550,550,6600
760400 - Electrical Service Contract,0,0,1859,0,0,0,0,0,0,0,0,0,1859
760500 - Appliance Testing,0,0,1491.68,0,0,0,0,0,0,0,0,0,1491.68
760550 - Fire Alarm and Extinguisher Serv,0,1510.32,0,0,0,0,0,0,0,0,0,0,1510.32
760600 - Heating and Air Conditioning,350,500,0,0,0,0,350,500,0,0,0,0,1700
760650 - Pest Control,1827.3,0,0,0,0,0,1827.3,0,0,0,0,0,3654.6
760700 - Other Occupancy costs,0,0,0,0,0,310,0,0,310,0,0,0,620
810100 - Books,0,0,917.23,0,523.67,0,0,0,0,0,0,0,1440.9
