NominalCode,Code,NominalName,Type,Category,Budget
510100 - DFE Revenue Grants,510100,DFE Revenue Grants,Income,DfE Revenue Grants,Funding
510200 - Pupil Premium,510200,Pupil Premium,Income,Pupil Premium,Funding
510250 - Universal Inf Free School Meals,510250,Universal Inf Free School Meals,Income,Universal Inf Free School Meals,Funding
510400 - PE & Sport Grants,510400,PE & Sport Grants,Income,PE & Sport Grants,Funding
510950 - Other DfE revenue grants,510950,Other DfE revenue grants,Income,Other DfE revenue grants,Funding
520100 - LA - SEN,520100,LA - SEN,Income,LA - SEN,Funding
520200 - LA - Other grants,520200,LA - Other grants,Income,LA - Other grants,Funding
525300 - Catering income from pupils,525300,Catering income from pupils,Income,Catering income,Income
525400 - Educational trips & visits,525400,Educational trips & visits,Income,Trips income,Income
530100 - Hire of facilities,530100,Hire of facilities,Income,Letting income,Income
530200 - Catering inc (visitors & staf),530200,Catering inc (visitors & staf),Income,Catering income,Income
530400 - Sale of uniforms,530400,Sale of uniforms,Income,Sale of uniforms,Income
530580 - Parental income from wraparound provision,530580,Parental income from wraparound provision,Income,Wraparound care income,Income
530650 - Sale of goods or services,530650,Sale of goods or services,Income,Other income,Income
612100 - Teachers Wages and salaries,612100,Teachers Wages and salaries,Expenses,Teachers,Staff costs
612200 - Teachers Employers NI,612200,Teachers Employers NI,Expenses,Teachers,Staff costs
612300 - Teaching staff - Pension,612300,Teaching staff - Pension,Expenses,Teachers,Staff costs
615100 - Teaching Assistants - Wages and Salaries,615100,Teaching Assistants - Wages and Salaries,Expenses,Teaching Assistants,Staff costs
615200 - Teaching Assistants - Employers NI,615200,Teaching Assistants - Employers NI,Expenses,Teaching Assistants,Staff costs
615300 - Teaching Assistants - Pension,615300,Teaching Assistants - Pension,Expenses,Teaching Assistants,Staff costs
625100 - FInance&Admin - Wages and salaries,625100,FInance&Admin - Wages and salaries,Expenses,FInance&Admin,Staff costs
625200 - Finance&Admin - Employers NI,625200,Finance&Admin - Employers NI,Expenses,FInance&Admin,Staff costs
625300 - Finance&Admin - Pension,625300,Finance&Admin - Pension,Expenses,FInance&Admin,Staff costs
635100 - Midday Supervisors - Wages and salaries,635100,Midday Supervisors - Wages and salaries,Expenses,Midday Supervisors,Staff costs
635200 - Midday Supervisors - Employers NI,635200,Midday Supervisors - Employers NI,Expenses,Midday Supervisors,Staff costs
635300 - Midday Supervisors - Employers Pension,635300,Midday Supervisors - Employers Pension,Expenses,Midday Supervisors,Staff costs
645100 - Community Facilities Staff - Wages and salaries,645100,Community Facilities Staff - Wages and salaries,Expenses,Community Facilities Staff -,Staff costs
