NominalCode,Date,Narrative,Amount
820150 - Educational software & licences,08/01/2024,PE Active subscription,110.22
710100 - Building Repair and Maintenance,08/30/2024,Building condition survey (every 5 years),1050
820150 - Educational software & licences,02/25/2024,ABCmouse subscription ,250
740100 - Security Alarms / CCTV Services,09/25/2023,Security Alarms / CCTV Services,125
740100 - Security Alarms / CCTV Services,12/30/2023,Security Alarms / CCTV Services,920
835200 - Admin Supplies & Stationery,09/07/2023,Pens,30
835200 - Admin Supplies & Stationery,09/09/2023,Stamps,129.56
835200 - Admin Supplies & Stationery,09/13/2023,Badge holders,7
835200 - Admin Supplies & Stationery,09/22/2023,Rolls,19.21
835200 - Admin Supplies & Stationery,09/23/2023,Lanyards x 100 yellow ,16.45
835200 - Admin Supplies & Stationery,09/23/2023,Lanyards 100 yellow ,16.69
835200 - Admin Supplies & Stationery,09/23/2023,Envelops,140
835200 - Admin Supplies & Stationery,09/25/2023,Badge holders,21
835200 - Admin Supplies & Stationery,09/25/2023,Lanyards,15
835200 - Admin Supplies & Stationery,10/31/2023,Archive folders,140
835200 - Admin Supplies & Stationery,10/31/2023,Folders,248.78
835200 - Admin Supplies & Stationery,11/01/2023,Compliment slips,135
835200 - Admin Supplies & Stationery,11/10/2023,Envelops,62.5
835200 - Admin Supplies & Stationery,11/16/2023,Label tape,10.99
835200 - Admin Supplies & Stationery,11/16/2023,Bateries,113.96
835200 - Admin Supplies & Stationery,12/15/2023,Envelops,91.91
835200 - Admin Supplies & Stationery,01/30/2024,Archive folders,28.56
835200 - Admin Supplies & Stationery,01/30/2024,Laminaiting rolls,89.12
835200 - Admin Supplies & Stationery,02/22/2024,Postage stamps ,77.25
835200 - Admin Supplies & Stationery,03/21/2024,Postage stamps ,50
835200 - Admin Supplies & Stationery,04/25/2024,Staples for the printer ,51.04
835200 - Admin Supplies & Stationery,05/02/2024,Staplers,27
835200 - Admin Supplies & Stationery,05/02/2024,Diary,23
835200 - Admin Supplies & Stationery,05/19/2024,Lanyards,10.95
835200 - Admin Supplies & Stationery,05/31/2024,Post stamps,45
835200 - Admin Supplies & Stationery,07/13/2024,Stationery,49.5
625200 - Finance&Admin - Employers NI,09/21/2023,Admin ER's NIC,655.03
625200 - Finance&Admin - Employers NI,10/21/2023,Admin ER's NIC,581.58
625200 - Finance&Admin - Employers NI,11/21/2023,Admin ER's NIC,736.79
625200 - Finance&Admin - Employers NI,12/16/2023,Admin ER's NIC,543.85
625200 - Finance&Admin - Employers NI,01/20/2024,Admin ER's NIC,536.08
625200 - Finance&Admin - Employers NI,02/21/2024,Admin ER's NIC,674.27
625200 - Finance&Admin - Employers NI,03/21/2024,Admin ER's NIC,725.82
625200 - Finance&Admin - Employers NI,04/21/2024,Admin ER's NIC,512.08
625200 - Finance&Admin - Employers NI,05/19/2024,Admin ER's NIC,535.27
625200 - Finance&Admin - Employers NI,06/21/2024,Admin ER's NIC,540.91
625200 - Finance&Admin - Employers NI,07/21/2024,Admin ER's NIC,611.34
625200 - Finance&Admin - Employers NI,08/21/2024,Admin ER's NIC,543.16
625100 - FInance&Admin - Wages and salaries,09/21/2023,Admin Wages,6404.28
625100 - FInance&Admin - Wages and salaries,10/21/2023,Admin Wages,5916.24
625100 - FInance&Admin - Wages and salaries,11/21/2023,Admin Wages,7683.32
625100 - FInance&Admin - Wages and salaries,12/16/2023,Admin Wages,6023.41
625100 - FInance&Admin - Wages and salaries,01/20/2024,Admin Wages,5716.93
625100 - FInance&Admin - Wages and salaries,02/21/2024,Admin Wages,7289.71
625100 - FInance&Admin - Wages and salaries,03/21/2024,Admin Wages,7784.47
625100 - FInance&Admin - Wages and salaries,04/21/2024,Admin Wages,6882.38
625100 - FInance&Admin - Wages and salaries,05/19/2024,Admin Wages,5546.21
625100 - FInance&Admin - Wages and salaries,06/21/2024,Admin Wages,6301.4
625100 - FInance&Admin - Wages and salaries,07/21/2024,Admin Wages,6492.12
625100 - FInance&Admin - Wages and salaries,08/21/2024,Admin Wages,6626.75
625300 - Finance&Admin - Pension,09/21/2023,Admin ER's PEN,411.11
625300 - Finance&Admin - Pension,10/21/2023,Admin ER's PEN,414.11
625300 - Finance&Admin - Pension,11/21/2023,Admin ER's PEN,661.2
625300 - Finance&Admin - Pension,12/16/2023,Admin ER's PEN,484.36
625300 - Finance&Admin - Pension,01/20/2024,Admin ER's PEN,442.37
625300 - Finance&Admin - Pension,02/21/2024,Admin ER's PEN,548.41
625300 - Finance&Admin - Pension,03/21/2024,Admin ER's PEN,616.2
625300 - Finance&Admin - Pension,04/21/2024,Admin ER's PEN,569.98
625300 - Finance&Admin - Pension,05/19/2024,Admin ER's PEN,455.34
625300 - Finance&Admin - Pension,06/21/2024,Admin ER's PEN,516.77
625300 - Finance&Admin - Pension,07/21/2024,Admin ER's PEN,488.95
625300 - Finance&Admin - Pension,08/21/2024,Admin ER's PEN,572.7
760600 - Heating and Air Conditioning,09/30/2023,Heating and Air Conditioning,210
760600 - Heating and Air Conditioning,03/30/2024,Heating and Air Conditioning,210
710100 - Building Repair and Maintenance,09/01/2023,Lift service ,75
710100 - Building Repair and Maintenance,03/01/2024,Lift service ,175
810200 - Curriculum Materials,09/01/2023,Assessment materials and books,100
810200 - Curriculum Materials,11/03/2023,Assessment materials and books,596
810200 - Curriculum Materials,11/04/2023,Assessment materials and books,600
810200 - Curriculum Materials,03/16/2024,Assessment materials and books,1312
810200 - Curriculum Materials,05/08/2024,Assessment materials and books,100
810200 - Curriculum Materials,05/26/2024,Assessment materials and books,620
810200 - Curriculum Materials,09/01/2023,Assessment materials and books,100
810200 - Curriculum Materials,11/03/2023,Assessment materials and books,600
810200 - Curriculum Materials,11/04/2023,Assessment materials and books,600
810200 - Curriculum Materials,05/08/2024,Assessment materials and books,200
810200 - Curriculum Materials,05/26/2024,Assessment materials and books,620
810200 - Curriculum Materials,06/08/2024,Assessment materials and books,200
860100 - Statutory audit fees,10/31/2023,Audit fee,6500
860100 - Statutory audit fees,12/23/2023,Acc.Assurance Report on Regularity ,1900
860100 - Statutory audit fees,12/23/2023,Account return fee,2500
860100 - Statutory audit fees,03/31/2024,Audit Interim Fee,2180
860100 - Statutory audit fees,07/18/2024,TP EOYC audit fee,1900
835570 - Bank charges,09/01/2023,CARD FEE,4
835570 - Bank charges,09/01/2023,Bank charges,37.48
835570 - Bank charges,09/05/2023,Bank charges,10.92
835570 - Bank charges,10/01/2023,CARD FEE,4
835570 - Bank charges,10/03/2023,Bank charges,57.08
835570 - Bank charges,11/01/2023,CARD FEE,4
835570 - Bank charges,11/01/2023,Bank charges,50.3
835570 - Bank charges,12/01/2023,CARD FEE,4
835570 - Bank charges,12/01/2023,Bank charges,54.58
835570 - Bank charges,01/02/2024,CARD FEE,4
835570 - Bank charges,01/03/2024,Bank charges,51.9
835570 - Bank charges,02/01/2024,CARD FEE,4
835570 - Bank charges,02/01/2024,Bank charges,52.7
835570 - Bank charges,03/01/2024,CARD FEE,4
835570 - Bank charges,03/01/2024,CARD FEE,4
835570 - Bank charges,03/01/2024,Bank charges,48.16
835570 - Bank charges,04/03/2024,CARD FEE,4
835570 - Bank charges,04/03/2024,Bank charges,50.48
835570 - Bank charges,05/01/2024,CARD FEE,4
835570 - Bank charges,05/05/2024,Bank charges,48.08
835570 - Bank charges,06/01/2024,CARD FEE,4
835570 - Bank charges,06/01/2024,Bank charges,54.9
835570 - Bank charges,06/01/2024,Bank charges,49.12
835570 - Bank charges,07/03/2024,CARD FEE,4
835570 - Bank charges,07/03/2024,Bank charges,49.88
835570 - Bank charges,08/01/2024,CARD FEE,4
835570 - Bank charges,08/01/2024,Bank charges,54.7
510100 - DFE Revenue Grants,09/01/2023,Age Weighted Pupil Unit (AWPU),-165615.54
510100 - DFE Revenue Grants,10/03/2023,Age Weighted Pupil Unit (AWPU),-165615.54
510100 - DFE Revenue Grants,11/01/2023,Age Weighted Pupil Unit (AWPU),-165615.54
510100 - DFE Revenue Grants,12/01/2023,Age Weighted Pupil Unit (AWPU),-165615.54
510100 - DFE Revenue Grants,01/03/2024,Age Weighted Pupil Unit (AWPU),-165615.54
510100 - DFE Revenue Grants,02/01/2024,Age Weighted Pupil Unit (AWPU),-165615.54
510100 - DFE Revenue Grants,03/01/2024,Age Weighted Pupil Unit (AWPU),-165615.54
510100 - DFE Revenue Grants,04/02/2024,Age Weighted Pupil Unit (AWPU),-165615.54
510100 - DFE Revenue Grants,05/02/2024,Age Weighted Pupil Unit (AWPU),-165615.54
510100 - DFE Revenue Grants,06/01/2024,Age Weighted Pupil Unit (AWPU),-165615.54
510100 - DFE Revenue Grants,07/02/2024,Age Weighted Pupil Unit (AWPU),-165615.54
510100 - DFE Revenue Grants,08/01/2024,Age Weighted Pupil Unit (AWPU),-165616.45
760250 - Refuse Removal,09/23/2023,Waste Collection,118.45
760250 - Refuse Removal,09/23/2023,Recycling waste collection,135.51
760250 - Refuse Removal,09/23/2023,General waste collection,392.84
760250 - Refuse Removal,10/21/2023,Organic waste collection,94.76
760250 - Refuse Removal,10/21/2023,Recycling waste collection,132.46
760250 - Refuse Removal,10/21/2023,General waste collection,387.86
760250 - Refuse Removal,11/18/2023,Organic waste collection,84.16
760250 - Refuse Removal,11/18/2023,Recycling waste collection,132.46
760250 - Refuse Removal,11/18/2023,General waste collection,387.86
760250 - Refuse Removal,12/23/2023,Organic waste collection,86.63
760250 - Refuse Removal,12/23/2023,Recycling waste collection,135.51
760250 - Refuse Removal,12/23/2023,General waste collection,402.04
760250 - Refuse Removal,01/20/2024,Organic waste collection,69.95
760250 - Refuse Removal,01/20/2024,Recycling waste collection,116.14
760250 - Refuse Removal,01/20/2024,General waste collection,389.24
760250 - Refuse Removal,02/24/2024,Organic waste collection,131.91
760250 - Refuse Removal,02/24/2024,Recycling waste collection,196.4
760250 - Refuse Removal,02/24/2024,General waste collection,537.58
760250 - Refuse Removal,03/31/2024,Organic waste collection,131.91
760250 - Refuse Removal,03/31/2024,Recycling waste collection,187.86
760250 - Refuse Removal,03/31/2024,General waste collection,537.58
760250 - Refuse Removal,04/28/2024,Organic waste collection,105.52
760250 - Refuse Removal,04/28/2024,Recycling waste collection,124.68
760250 - Refuse Removal,04/28/2024,General waste collection,358.63
760250 - Refuse Removal,05/26/2024,Organic waste collection,105.52
760250 - Refuse Removal,05/26/2024,Recycling waste collection,150.29
760250 - Refuse Removal,05/26/2024,General waste collection,430.07
760250 - Refuse Removal,06/30/2024,Organic waste collection,131.91
760250 - Refuse Removal,06/30/2024,Recycling waste collection,187.86
760250 - Refuse Removal,06/30/2024,General waste collection,537.58
760250 - Refuse Removal,07/28/2024,Organic waste collection,105.52
760250 - Refuse Removal,07/28/2024,Recycling waste collection,124.68
760250 - Refuse Removal,07/28/2024,General waste collection,430.07
760250 - Refuse Removal,08/25/2024,Organic waste collection,93.67
760250 - Refuse Removal,08/25/2024,Recycling waste collection,150.29
760250 - Refuse Removal,08/25/2024,General waste collection,430.07
760600 - Heating and Air Conditioning,10/20/2023,BMS Maintenance contract ,488.58
760600 - Heating and Air Conditioning,04/25/2024,BMS Maintenance contract ,488.58
760600 - Heating and Air Conditioning,10/01/2023,Boiler maintenance ,157.83
760600 - Heating and Air Conditioning,03/01/2024,Boiler maintenance ,157.83
760600 - Heating and Air Conditioning,07/01/2024,Boiler maintenance ,157.83
530580 - Parental income from wraparound provision,09/01/2023,Breakfast Club,-95.99
530580 - Parental income from wraparound provision,09/01/2023,Breakfast Club,-36.92
530580 - Parental income from wraparound provision,09/01/2023,Breakfast Club,-31.27
530580 - Parental income from wraparound provision,09/05/2023,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,09/06/2023,Breakfast Club,-132.91
530580 - Parental income from wraparound provision,09/06/2023,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,09/06/2023,Breakfast Club,-36.92
530580 - Parental income from wraparound provision,09/06/2023,Breakfast Club,-33.84
530580 - Parental income from wraparound provision,09/07/2023,Breakfast Club,-79.99
530580 - Parental income from wraparound provision,09/07/2023,Breakfast Club,-15.38
530580 - Parental income from wraparound provision,09/08/2023,Breakfast Club,-18.46
530580 - Parental income from wraparound provision,09/08/2023,Breakfast Club,-18.46
530580 - Parental income from wraparound provision,09/13/2023,Breakfast Club,-363.04
530580 - Parental income from wraparound provision,09/13/2023,Breakfast Club,-332.27
530580 - Parental income from wraparound provision,09/13/2023,Breakfast Club,-123.06
530580 - Parental income from wraparound provision,09/15/2023,Breakfast Club,-79.99
530580 - Parental income from wraparound provision,09/16/2023,Breakfast Club,-65.22
530580 - Parental income from wraparound provision,09/16/2023,Breakfast Club,-33.23
530580 - Parental income from wraparound provision,09/21/2023,Breakfast Club,-687.92
530580 - Parental income from wraparound provision,09/21/2023,Breakfast Club,-116.91
530580 - Parental income from wraparound provision,09/21/2023,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,09/27/2023,Breakfast Club,-276.89
530580 - Parental income from wraparound provision,09/27/2023,Breakfast Club,-86.14
530580 - Parental income from wraparound provision,09/27/2023,Breakfast Club,-8.61
530580 - Parental income from wraparound provision,09/28/2023,Breakfast Club,-24.61
530580 - Parental income from wraparound provision,09/28/2023,Breakfast Club,-24.61
530580 - Parental income from wraparound provision,09/29/2023,Breakfast Club,-172.29
530580 - Parental income from wraparound provision,09/30/2023,Breakfast Club,-24.61
530580 - Parental income from wraparound provision,09/30/2023,Breakfast Club,-6.77
530580 - Parental income from wraparound provision,10/03/2023,Breakfast Club,-70.76
530580 - Parental income from wraparound provision,10/03/2023,Breakfast Club,-31.27
530580 - Parental income from wraparound provision,10/04/2023,Breakfast Club,-501.48
530580 - Parental income from wraparound provision,10/04/2023,Breakfast Club,-350.73
530580 - Parental income from wraparound provision,10/04/2023,Breakfast Club,-24.61
530580 - Parental income from wraparound provision,10/05/2023,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,10/06/2023,Breakfast Club,-56.61
530580 - Parental income from wraparound provision,10/07/2023,Breakfast Club,-354.42
530580 - Parental income from wraparound provision,10/07/2023,Breakfast Club,-136.6
530580 - Parental income from wraparound provision,10/11/2023,Breakfast Club,-471.95
530580 - Parental income from wraparound provision,10/11/2023,Breakfast Club,-382.11
530580 - Parental income from wraparound provision,10/11/2023,Breakfast Club,-12.31
530580 - Parental income from wraparound provision,10/13/2023,Breakfast Club,-43.07
530580 - Parental income from wraparound provision,10/13/2023,Breakfast Club,-15.38
530580 - Parental income from wraparound provision,10/13/2023,Breakfast Club,-15.38
530580 - Parental income from wraparound provision,10/19/2023,Breakfast Club,-414.11
530580 - Parental income from wraparound provision,10/19/2023,Breakfast Club,-300.39
530580 - Parental income from wraparound provision,10/21/2023,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,10/24/2023,Breakfast Club,-30.77
530580 - Parental income from wraparound provision,10/27/2023,Breakfast Club,-349.19
530580 - Parental income from wraparound provision,10/27/2023,Breakfast Club,-209.21
530580 - Parental income from wraparound provision,10/31/2023,Breakfast Club,-21.54
530580 - Parental income from wraparound provision,11/01/2023,Breakfast Club,-777.76
530580 - Parental income from wraparound provision,11/01/2023,Breakfast Club,-147.68
530580 - Parental income from wraparound provision,11/01/2023,Breakfast Club,-135.37
530580 - Parental income from wraparound provision,11/01/2023,Breakfast Club,-73.84
530580 - Parental income from wraparound provision,11/01/2023,Breakfast Club,-49.23
530580 - Parental income from wraparound provision,11/01/2023,Breakfast Club,-39.38
530580 - Parental income from wraparound provision,11/01/2023,Breakfast Club,-31.27
530580 - Parental income from wraparound provision,11/02/2023,Breakfast Club,-30.77
530580 - Parental income from wraparound provision,11/02/2023,Breakfast Club,-30.77
530580 - Parental income from wraparound provision,11/07/2023,Breakfast Club,-46.15
530580 - Parental income from wraparound provision,11/08/2023,Breakfast Club,-686.08
530580 - Parental income from wraparound provision,11/08/2023,Breakfast Club,-295.97
530580 - Parental income from wraparound provision,11/08/2023,Breakfast Club,-24.61
530580 - Parental income from wraparound provision,11/11/2023,Breakfast Club,-50.7
530580 - Parental income from wraparound provision,11/11/2023,Breakfast Club,-29.54
530580 - Parental income from wraparound provision,11/14/2023,Breakfast Club,-15.38
530580 - Parental income from wraparound provision,11/15/2023,Breakfast Club,-780.84
530580 - Parental income from wraparound provision,11/15/2023,Breakfast Club,-243.05
530580 - Parental income from wraparound provision,11/21/2023,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,11/22/2023,Breakfast Club,-455.33
530580 - Parental income from wraparound provision,11/22/2023,Breakfast Club,-129.22
530580 - Parental income from wraparound provision,11/23/2023,Breakfast Club,-30.77
530580 - Parental income from wraparound provision,11/23/2023,Breakfast Club,-30.77
530580 - Parental income from wraparound provision,11/23/2023,Breakfast Club,-18.46
530580 - Parental income from wraparound provision,11/29/2023,Breakfast Club,-514.4
530580 - Parental income from wraparound provision,11/29/2023,Breakfast Club,-289.2
530580 - Parental income from wraparound provision,11/30/2023,Breakfast Club,-98.45
530580 - Parental income from wraparound provision,12/01/2023,Breakfast Club,-147.68
530580 - Parental income from wraparound provision,12/01/2023,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,12/01/2023,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,12/01/2023,Breakfast Club,-18.46
530580 - Parental income from wraparound provision,12/02/2023,Breakfast Club,-62.76
530580 - Parental income from wraparound provision,12/05/2023,Breakfast Club,-46.15
530580 - Parental income from wraparound provision,12/05/2023,Breakfast Club,-33.23
530580 - Parental income from wraparound provision,12/06/2023,Breakfast Club,-597.47
530580 - Parental income from wraparound provision,12/06/2023,Breakfast Club,-187.67
530580 - Parental income from wraparound provision,12/13/2023,Breakfast Club,-294.49
530580 - Parental income from wraparound provision,12/13/2023,Breakfast Club,-251.66
530580 - Parental income from wraparound provision,12/14/2023,Breakfast Club,-36.92
530580 - Parental income from wraparound provision,12/16/2023,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,12/20/2023,Breakfast Club,-310.12
530580 - Parental income from wraparound provision,12/20/2023,Breakfast Club,-58.46
530580 - Parental income from wraparound provision,12/27/2023,Breakfast Club,-110.76
530580 - Parental income from wraparound provision,12/27/2023,Breakfast Club,-3.69
530580 - Parental income from wraparound provision,12/30/2023,Breakfast Club,-17.97
530580 - Parental income from wraparound provision,01/03/2024,Breakfast Club,-184.59
530580 - Parental income from wraparound provision,01/03/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,01/03/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,01/03/2024,Breakfast Club,-19.07
530580 - Parental income from wraparound provision,01/04/2024,Breakfast Club,-123.06
530580 - Parental income from wraparound provision,01/04/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,01/04/2024,Breakfast Club,-36.92
530580 - Parental income from wraparound provision,01/04/2024,Breakfast Club,-12.31
530580 - Parental income from wraparound provision,01/04/2024,Breakfast Club,51.65
530580 - Parental income from wraparound provision,01/05/2024,Breakfast Club,-123.06
530580 - Parental income from wraparound provision,01/05/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,01/09/2024,Breakfast Club,-193.82
530580 - Parental income from wraparound provision,01/09/2024,Breakfast Club,-87.99
530580 - Parental income from wraparound provision,01/10/2024,Breakfast Club,-366.73
530580 - Parental income from wraparound provision,01/10/2024,Breakfast Club,-196.9
530580 - Parental income from wraparound provision,01/11/2024,Breakfast Club,-36.92
530580 - Parental income from wraparound provision,01/13/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,01/17/2024,Breakfast Club,-698.38
530580 - Parental income from wraparound provision,01/17/2024,Breakfast Club,-621.47
530580 - Parental income from wraparound provision,01/20/2024,Breakfast Club,-61.53
530580 - Parental income from wraparound provision,01/23/2024,Breakfast Club,-154.81
530580 - Parental income from wraparound provision,01/23/2024,Breakfast Club,-69.53
530580 - Parental income from wraparound provision,01/24/2024,Breakfast Club,-1811.49
530580 - Parental income from wraparound provision,01/24/2024,Breakfast Club,-329.19
530580 - Parental income from wraparound provision,01/24/2024,Breakfast Club,-313.81
